Kod oblasti;Nazev oblasti;Registrovany volici;Obalky;PlatnÈ hlasy;ObËansk· demokratick· strana;ÿ·d n·roda - Vlasteneck· unie;CESTA ODPOVÃDN… SPOLE»NOSTI;»esk· str.soci·lnÏ demokrat.;RadostnÈ »esko;STAROSTOV… A NEZ¡VISLÕ;Komunistick· str.»ech a Moravy;Strana zelen˝ch;ROZUMNÕ-stop migraci,dikt·t.EU;Strana svobodn˝ch obËan˘;Blok proti islam.-Obran.domova;ObËansk· demokratick· aliance;»esk· pir·tsk· strana;Unie H.A.V.E.L.;Referendum o EvropskÈ unii;TOP 09;ANO 2011;Dobr· volba 2016;SPR-Republ.str.»sl. M.Sl·dka;K¯esù.demokr.unie-»s.str.lid.;»esk· strana n·rodnÏ soci·lnÌ;REALIST…;SPORTOVCI;DÏlnic.str.soci·lnÌ spravedl.;Svob.a p¯.dem.-T.Okamura (SPD);Strana Pr·v ObËan˘
539104;Bojanovice;372;268;267;36;0;0;24;0;19;15;1;3;6;0;0;36;0;0;13;78;1;0;7;0;1;0;1;24;2
571199;Brat¯Ìnov;149;121;121;29;0;0;8;0;5;11;1;1;0;0;0;19;0;0;6;32;0;0;2;0;1;0;1;5;0
599735;B¯ezov·-Oleöko;869;632;630;110;0;0;18;0;49;33;8;7;19;1;1;103;0;0;73;133;0;2;17;0;6;0;1;45;4
540048;Buö;281;208;207;43;0;0;8;0;22;10;2;0;0;0;0;38;0;0;21;44;0;0;6;0;1;0;0;12;0
539121;»ernolice;328;251;248;54;1;1;18;0;22;10;3;6;4;0;0;39;0;0;36;32;0;0;6;0;4;0;0;12;0
539139;»ernoöice;5†206;3†964;3†945;721;3;2;145;2;262;102;88;12;62;1;2;679;1;4;770;645;0;3;217;0;23;5;2;187;7
532215;»erven˝ ⁄jezd;964;663;661;105;2;1;37;1;46;51;11;10;11;1;2;105;2;1;40;167;2;4;17;0;7;1;0;32;5
539147;»ÌËovice;235;162;160;25;0;1;9;0;8;11;3;0;0;0;1;28;0;0;15;43;0;0;5;0;2;0;0;9;0
539155;»isovice;843;562;556;66;1;0;33;2;49;27;17;6;14;1;3;92;0;1;43;142;0;0;11;1;2;0;1;43;1
539163;Davle;1†262;874;867;155;7;0;22;1;85;43;13;8;13;0;0;116;0;1;72;226;0;0;21;0;9;3;7;62;3
539171;DobrovÌz;435;302;299;34;1;0;9;0;14;24;5;1;5;0;0;38;0;0;29;95;2;1;7;1;6;1;0;26;0
539180;Dob¯ÌË;252;197;191;23;0;0;16;0;14;10;11;1;2;0;0;31;0;0;20;50;0;1;5;0;2;0;0;5;0
